de,w,tʃaʁtəʁəst,charterest
eno,r,kkʃaʃʒɡ,patrulo
nl,w,bəɣɪnsəl,beginsel
eo,w,ɡrafitiɡate,grafitigate
eno,w,orbita,xpnshr
fi,r,soijapapu,soijapapu
eno,w,frawdote,sɡouwvkz
eno,r,spsmhvs,korsaʒo
fr,w,ɡitaʁistikmɑ̃,guitaristiquement
pt,w,biɫtɾɨ,biltre
ru,r,врабатываться,vrəbətɨvətsə
zh,w,y˧˥iɑŋ˧˥,揄扬
es,r,biometría,bjometɾia
de,w,ɡʁafl,graffel
ar,r,اِسْتَحْجَرَ,istaħdʒara
es,w,muskulo,músculo
sh,w,ʋǎroʃitsa,varošica
fro,w,ʁəfœjɛtəʁe,refeyèteré
eo,w,adiaw,adiaŭ
nl,w,sadɪst,sadist
ru,r,навислый,nəvɪslɨj
nl,r,generlei,ɣenərlɛi
fro,r,baragwiner,baʁaɡwinœʁ
it,w,atmosfɛriki,atmosferiche
de,w,hoxplato,hochplateau
sh,r,unteroficir,unterofǐtsir
it,w,erɛde,erede
ru,r,доразделав,dərəzdɪləf
de,w,fɛɐzibndə,versiebende
de,r,alpenbockes,alpnbɔkəs
zh,r,帮凶,paŋ˥˥ɕyŋ˥˥
en,w,ælɡə,alga
de,w,nidɐtsukɔməndəm,niederzukommendem
ko,w,tʰoŋɦeŋ,통행
ru,r,дожинавший,dəʐɨnəfʂɨj
zh,w,tʂaŋ˨˩˦tʂaŋ˨˩˦,厂长
eno,r,amtkoeozɡa,eksportite
nl,w,dɛizən,deizen
en,r,jukebox,dʒuːkbɒks
nl,r,kofs,kɔf
fi,r,hypoforia,hypoforɪa
de,r,ausfallest,aʊsfaləst
br,r,mennozhioù,mɛnozju
eno,w,erotoɡena,lbeɡnnkiʃ
sh,r,kvasija,kʋǎsija
eno,r,ltspsskjɡns,estseptante
ar,r,برتقالة,brtqaːl
fro,w,pʁemakɛta,prémakèta
fr,w,ɔʁbit,orbitent
ar,r,تُحَلَّقُوْا,tuħalaquːaː
eo,w,eklipsa,eklipsa
eno,r,rnhvʒɡvʃ,ɡravetso
it,w,bestja,bestia
de,w,mɪtbʏʁɡəʁɪn,mitbürgerin
