lang,task,test_accuracy,test_duration
ent,write,0.979,0 days 00:00:56.798057
ent,read,0.991,0 days 00:00:56.750035
eno,write,0.0,0 days 00:00:56.712549
eno,read,0.0,0 days 00:00:56.692892
ar,write,0.794,0 days 00:00:56.541794
ar,read,0.971,0 days 00:00:56.582990
br,write,0.672,0 days 00:00:56.401150
br,read,0.649,0 days 00:00:56.519361
de,write,0.536,0 days 00:00:56.640212
de,read,0.608,0 days 00:00:56.738572
en,write,0.259,0 days 00:00:56.443497
en,read,0.23,0 days 00:00:56.483590
eo,write,0.98,0 days 00:00:56.522904
eo,read,0.989,0 days 00:00:56.604140
es,write,0.591,0 days 00:00:56.512670
es,read,0.795,0 days 00:00:56.568590
fi,write,0.952,0 days 00:00:56.692176
fi,read,0.833,0 days 00:00:56.687798
fr,write,0.21,0 days 00:00:56.555762
fr,read,0.663,0 days 00:00:56.735481
fro,write,0.967,0 days 00:00:56.656669
fro,read,0.87,0 days 00:00:56.630073
it,write,0.902,0 days 00:00:56.557749
it,read,0.625,0 days 00:00:56.587852
ko,write,0.741,0 days 00:00:56.571468
ko,read,0.898,0 days 00:00:56.499035
nl,write,0.538,0 days 00:00:56.521127
nl,read,0.466,0 days 00:00:56.558625
pt,write,0.627,0 days 00:00:56.464121
pt,read,0.651,0 days 00:00:56.501610
ru,write,0.306,0 days 00:00:56.658831
ru,read,0.904,0 days 00:00:56.652696
sh,write,0.976,0 days 00:00:56.618685
sh,read,0.437,0 days 00:00:56.619858
tr,write,0.94,0 days 00:00:56.617381
tr,read,0.835,0 days 00:00:56.624976
zh,write,0.028,0 days 00:00:56.642424
zh,read,0.41,0 days 00:00:55.948011
ent,write,0.984,0 days 00:00:56.846619
ent,read,0.982,0 days 00:00:56.764243
eno,write,0.0,0 days 00:00:56.760593
eno,read,0.0,0 days 00:00:56.791387
ar,write,0.804,0 days 00:00:56.580068
ar,read,0.977,0 days 00:00:56.656236
br,write,0.687,0 days 00:00:56.762463
br,read,0.615,0 days 00:00:57.114776
de,write,0.511,0 days 00:00:57.270846
de,read,0.541,0 days 00:00:57.326305
en,write,0.246,0 days 00:00:56.998837
en,read,0.218,0 days 00:00:57.057841
eo,write,0.976,0 days 00:00:57.121586
eo,read,0.995,0 days 00:00:57.173405
es,write,0.561,0 days 00:00:57.075670
es,read,0.81,0 days 00:00:57.198327
fi,write,0.943,0 days 00:00:57.281247
fi,read,0.863,0 days 00:00:57.272439
fr,write,0.234,0 days 00:00:57.198708
fr,read,0.628,0 days 00:00:57.341087
fro,write,0.981,0 days 00:00:57.241553
fro,read,0.851,0 days 00:00:57.211528
it,write,0.91,0 days 00:00:57.189607
it,read,0.632,0 days 00:00:57.178457
ko,write,0.73,0 days 00:00:57.184839
ko,read,0.901,0 days 00:00:57.107231
nl,write,0.522,0 days 00:00:57.092892
nl,read,0.431,0 days 00:00:57.175280
pt,write,0.596,0 days 00:00:56.994918
pt,read,0.632,0 days 00:00:57.084149
ru,write,0.296,0 days 00:00:57.273940
ru,read,0.909,0 days 00:00:57.295572
sh,write,0.96,0 days 00:00:57.109690
sh,read,0.427,0 days 00:00:57.139027
tr,write,0.937,0 days 00:00:57.188238
tr,read,0.8,0 days 00:00:57.238485
zh,write,0.022,0 days 00:00:57.196542
zh,read,0.389,0 days 00:00:56.497962
ent,write,0.982,0 days 00:00:56.978613
ent,read,0.991,0 days 00:00:56.819452
eno,write,0.0,0 days 00:00:56.794833
eno,read,0.0,0 days 00:00:56.779240
ar,write,0.789,0 days 00:00:56.650143
ar,read,0.961,0 days 00:00:56.672447
br,write,0.701,0 days 00:00:56.500209
br,read,0.641,0 days 00:00:56.628538
de,write,0.518,0 days 00:00:56.814140
de,read,0.598,0 days 00:00:56.872515
en,write,0.24,0 days 00:00:56.531974
en,read,0.232,0 days 00:00:56.556754
eo,write,0.973,0 days 00:00:56.714689
eo,read,0.994,0 days 00:00:56.699109
es,write,0.589,0 days 00:00:56.625380
es,read,0.791,0 days 00:00:56.670207
fi,write,0.94,0 days 00:00:56.780918
fi,read,0.822,0 days 00:00:56.811818
fr,write,0.229,0 days 00:00:56.695158
fr,read,0.663,0 days 00:00:56.801306
fro,write,0.983,0 days 00:00:56.797125
fro,read,0.871,0 days 00:00:56.760138
it,write,0.898,0 days 00:00:56.767193
it,read,0.647,0 days 00:00:56.771863
ko,write,0.745,0 days 00:00:56.765963
ko,read,0.889,0 days 00:00:56.637067
nl,write,0.573,0 days 00:00:56.605014
nl,read,0.461,0 days 00:00:56.656432
pt,write,0.611,0 days 00:00:56.546756
pt,read,0.639,0 days 00:00:56.649366
ru,write,0.294,0 days 00:00:56.762797
ru,read,0.922,0 days 00:00:56.810206
sh,write,0.976,0 days 00:00:56.718025
sh,read,0.431,0 days 00:00:56.746053
tr,write,0.919,0 days 00:00:56.738510
tr,read,0.878,0 days 00:00:56.800021
zh,write,0.01,0 days 00:00:56.803947
zh,read,0.388,0 days 00:00:56.079316
ent,write,0.979,0 days 00:00:57.516642
ent,read,0.991,0 days 00:00:57.395570
eno,write,0.0,0 days 00:00:57.433233
eno,read,0.0,0 days 00:00:57.328686
ar,write,0.782,0 days 00:00:57.243658
ar,read,0.98,0 days 00:00:57.262620
br,write,0.714,0 days 00:00:57.083952
br,read,0.654,0 days 00:00:57.175319
de,write,0.507,0 days 00:00:57.372746
de,read,0.572,0 days 00:00:57.385180
en,write,0.245,0 days 00:00:57.081885
en,read,0.21,0 days 00:00:57.172264
eo,write,0.965,0 days 00:00:57.193168
eo,read,0.988,0 days 00:00:57.188161
es,write,0.542,0 days 00:00:57.123660
es,read,0.822,0 days 00:00:57.181193
fi,write,0.937,0 days 00:00:57.263399
fi,read,0.811,0 days 00:00:57.263714
fr,write,0.215,0 days 00:00:57.226681
fr,read,0.649,0 days 00:00:57.279714
fro,write,0.935,0 days 00:00:57.272227
fro,read,0.841,0 days 00:00:57.234059
it,write,0.925,0 days 00:00:57.225852
it,read,0.648,0 days 00:00:57.208733
ko,write,0.731,0 days 00:00:57.229523
ko,read,0.9,0 days 00:00:57.149652
nl,write,0.57,0 days 00:00:57.168731
nl,read,0.394,0 days 00:00:57.126571
pt,write,0.605,0 days 00:00:57.134843
pt,read,0.632,0 days 00:00:57.051683
ru,write,0.287,0 days 00:00:57.270866
ru,read,0.896,0 days 00:00:56.684427
sh,write,0.974,0 days 00:00:56.679229
sh,read,0.395,0 days 00:00:56.735805
